class_name,name,description,category,stack_size,sink_points,energy_value_mj,radioactive_decay,can_be_discarded,is_fluid,form
Desc_SpaceElevatorPart_5_C,Adaptive Control Unit,Project Part #5. Ship via the Space Elevator to complete phases of Project Assembly.,,50,76368,0.0,0.0,,False,
Desc_SpaceElevatorPart_12_C,AI Expansion Server,Project Part #12. Ship via the Space Elevator to complete phases of Project Assembly. Power Usage: 0-2000 MW (1000 MW average).  Growth is the metric by which we measure success.,,50,597652,0.0,0.0,,False,
Desc_CircuitBoardHighSpeed_C,AI Limiter,Controls AIs and keeps them from evolving in malicious ways. Super advanced electronics.,,100,920,0.0,0.0,,False,
Desc_AluminumPlate_C,Alclad Aluminum Sheet,"Used to make products that require high heat conduction or a high specific strength. Thin, lightweight, and highly durable.",,200,266,0.0,0.0,,False,
Desc_AlienDNACapsule_C,Alien DNA Capsule,"Translates organic chemicals into readable alien genetic information. Used for researching alien organisms.  Go the extra kilometer! Knowledge is power, and power is just efficiency with fewer steps. Depositing Alien DNA Capsules in the AWESOME Sink provides FICSIT with knowledge, and pioneers with Coupons.",,50,0,0.0,0.0,,False,
Desc_AlienPowerFuel_C,Alien Power Matrix,"This intricate condensed-matter matrix is used to enhance the output of the Alien Power Augmenter.  Initially developed in efforts to create a human-made Somersloop, the Alien Power Matrix cannot sustain the extra-dimensional energy connection on its own. However, it can effectively stabilize the energy stream of the Somersloop.",,50,210,0.0,0.0,,False,
Desc_AlienProtein_C,Alien Protein,Ground-up Alien Remains in a neat little package. Used for medical purposes and to research alien organisms.,,100,0,0.0,0.0,,False,
Desc_AluminaSolution_C,Alumina Solution,"Dissolved Alumina, extracted from Bauxite. Can be further refined into Aluminum Scrap for Aluminum Ingot production.",,50000,20000,0.0,0.0,,True,
Desc_AluminumCasing_C,Aluminum Casing,A versatile container cast from Aluminum Ingots.,,200,393,0.0,0.0,,False,
Desc_AluminumIngot_C,Aluminum Ingot,"Smelted from Aluminum Scrap, which is refined from Alumina Solution. Used to produce specialized aluminum-based parts.",,100,131,0.0,0.0,,False,
Desc_AluminumScrap_C,Aluminum Scrap,Refined from Alumina. Can be smelted into Aluminum Ingots for industrial usage.,,500,27,0.0,0.0,,False,
Desc_SpaceElevatorPart_7_C,Assembly Director System,Project Part #6. Ship via the Space Elevator to complete phases of Project Assembly.  This extremely fast and precise computing system is specifically designed to direct the Project Assembly: Assembly Phase.,,50,500176,0.0,0.0,,False,
Desc_SpaceElevatorPart_3_C,Automated Wiring,Project Part #3. Ship via the Space Elevator to complete phases of Project Assembly.,,50,1440,0.0,0.0,,False,
Desc_Shroom_C,Bacon Agaric,Consumable  Eat to restore 2 health segments.,,50,0,0.0,0.0,,False,
Desc_SpaceElevatorPart_11_C,Ballistic Warp Drive,"Project Part #11. Ship via the Space Elevator to complete phases of Project Assembly.  A large amount of force is required for the Warp Drives to activate, so sticking them to rockets was the logical next step. Additionally, results improved immensely when the observers were further removed from the Warp Drives upon activation.",,50,2895334,0.0,0.0,,False,
Desc_Battery_C,Battery,Primarily used as fuel for Drones and vehicles.,,200,465,6000.0,0.0,,False,
Desc_OreBauxite_C,Bauxite,"Used to produce Alumina, which can be further refined into the Aluminum Scrap required to produce Aluminum Ingots.",,100,8,0.0,0.0,,False,
Desc_Nut_C,Beryl Nut,Consumable  Eat to restore half a health segment.,,100,0,0.0,0.0,,False,
Desc_SpaceElevatorPart_10_C,Biochemical Sculptor,"Project Part #10. Ship via the Space Elevator to complete phases of Project Assembly.  Years ahead of the competition, this top-of-the-line 3D printer is used for the production of synthetic biological resources.",,50,301778,0.0,0.0,,False,
Desc_GenericBiomass_C,Biomass,Primarily used as fuel. Biomass Burners and vehicles can use it for power. Biomass is much more energy-efficient than raw biological matter.,,200,12,180.0,0.0,,False,
Desc_Gunpowder_C,Black Powder,An explosive powder that is commonly used to produce simple explosives.,,200,14,0.0,0.0,,False,
BP_EquipmentDescriptorJumpingStilts_C,Blade Runners,"An exoskeleton for the lower legs that assists movement, allowing pioneers to sprint faster and jump higher. Also dampens the impact of landing.",,1,4088,0.0,0.0,,False,
Desc_Crystal_C,Blue Power Slug,A strange slug radiating an unknown weak power.,,50,0,0.0,0.0,,False,
Desc_Cable_C,Cable,Used for crafting. Primarily used to build Power Lines.,,200,24,0.0,0.0,,False,
Desc_GoldIngot_C,Caterium Ingot,Smelted from Caterium Ore. Primarily used for advanced electronics.,,100,42,0.0,0.0,,False,
Desc_OreGold_C,Caterium Ore,"Smelted into Caterium Ingots, which are primarily used for advanced electronics.",,100,7,0.0,0.0,,False,
Desc_Chainsaw_C,Chainsaw,Clears an area of flora that is too difficult to remove by hand.  Fuel: Biofuel,,1,2760,0.0,0.0,,False,
Desc_CircuitBoard_C,Circuit Board,Advanced electronics that have a plethora of different uses.,,200,696,0.0,0.0,,False,
Desc_NobeliskCluster_C,Cluster Nobelisk,Detonates into multiple smaller explosions. Practical for clearing out large areas of vegetation and other inconveniences.,,50,1376,0.0,0.0,,False,
Desc_Coal_C,Coal,"Mainly used as fuel for vehicles & Coal-Powered Generators, or in Steel production.",,100,3,300.0,0.0,,False,
Desc_CompactedCoal_C,Compacted Coal,A much more efficient alternative to Coal. Used as fuel for vehicles and Coal-Powered Generators.,,100,28,630.0,0.0,,False,
Desc_Computer_C,Computer,A complex logic machine that is used to control advanced behavior in other machines.,,50,8352,0.0,0.0,,False,
Desc_Cement_C,Concrete,Used for building. Good for stable Foundations.,,500,12,0.0,0.0,,False,
Desc_CoolingSystem_C,Cooling System,Keeps advanced parts and buildings from exceeding efficient temperature levels.,,100,12006,0.0,0.0,,False,
